solv_i_id,solv_i_name,molefrac_i,T,ln_gamma_i
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0150 / 0.9850,325,5.4032 / -4.0426
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0435 / 0.9565,325,5.1608 / -3.9696
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0720 / 0.9280,325,5.0969 / -3.8417
kdb_solvent_1 / kdb_solvent_29,ETHANOL / PROPANE,0.0350 / 0.9650,350,4.3399 / -3.4548
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0200 / 0.9800,389.25,0.9773 / 0.0076
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0600 / 0.9400,386.05,0.8875 / 0.0234
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0800 / 0.9200,384.55,0.9292 / 0.0112
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1000 / 0.9000,383.15,0.8811 / 0.0290
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1110 / 0.8890,382.05,0.9130 / 0.0307
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1200 / 0.8800,381.65,0.9157 / 0.0170
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1400 / 0.8600,380.35,0.8644 / 0.0473
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1560 / 0.8440,379.15,0.8234 / 0.0887
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1840 / 0.8160,378.35,0.8059 / 0.0555
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2340 / 0.7660,375.95,0.7586 / 0.0871
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2850 / 0.7150,374.45,0.6798 / 0.1222
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3300 / 0.6700,373.05,0.6238 / 0.1708
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3900 / 0.6100,371.95,0.5587 / 0.1924
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.4700 / 0.5300,370.95,0.4402 / 0.2978
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5100 / 0.4900,370.45,0.4022 / 0.3341
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5950 / 0.4050,369.75,0.2968 / 0.4867
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7100 / 0.2900,369.45,0.1769 / 0.7044
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7610 / 0.2390,369.35,0.1434 / 0.7987
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8420 / 0.1580,369.55,0.0697 / 1.0844
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8900 / 0.1100,370.25,0.0359 / 1.2355
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9650 / 0.0350,372.15,0.0069 / 1.5113
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9810 / 0.0190,372.65,0.0062 / 1.6501
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0200 / 0.9800,363.15,1.1700 / 0.0544
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0450 / 0.9550,363.15,1.0519 / 0.0463
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.0800 / 0.9200,363.15,1.0682 / 0.0729
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1050 / 0.8950,363.15,1.0668 / 0.0717
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1500 / 0.8500,363.15,0.9408 / 0.0901
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.1850 / 0.8150,363.15,0.8980 / 0.0988
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2650 / 0.7350,363.15,0.7553 / 0.1342
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.2850 / 0.7150,363.15,0.7254 / 0.1631
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.3050 / 0.6950,363.15,0.7273 / 0.1553
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.4300 / 0.5700,363.15,0.5223 / 0.2933
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.5000 / 0.5000,363.15,0.4311 / 0.3675
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.6050 / 0.3950,363.15,0.2886 / 0.5293
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.6450 / 0.3550,363.15,0.2415 / 0.6022
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7100 / 0.2900,363.15,0.1853 / 0.7118
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.7850 / 0.2150,363.15,0.1205 / 0.9043
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8000 / 0.2000,363.15,0.1063 / 0.9515
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.8800 / 0.1200,363.15,0.0491 / 1.2397
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9350 / 0.0650,363.15,0.0257 / 1.4832
kdb_solvent_2 / kdb_solvent_27,METHYLCYCLOHEXANE / N-BUTANOL,0.9500 / 0.0500,363.15,0.0161 / 1.4903
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0210 / 0.9790,389.75,0.8456 / 0.0143
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0400 / 0.9600,388.75,0.8689 / 0.0131
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0810 / 0.9190,386.85,0.7520 / 0.0340
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.1290 / 0.8710,385.15,0.7111 / 0.0382
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.1850 / 0.8150,383.75,0.6236 / 0.0522
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.2220 / 0.7780,382.75,0.5636 / 0.0827
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.2900 / 0.7100,381.55,0.5000 / 0.0997
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.4100 / 0.5900,380.15,0.3541 / 0.1852
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.4750 / 0.5250,379.45,0.2986 / 0.2425
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.5850 / 0.4150,378.75,0.2194 / 0.3419
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.6950 / 0.3050,378.85,0.1115 / 0.5187
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.7850 / 0.2150,379.15,0.0646 / 0.6558
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.8750 / 0.1250,380.05,0.0294 / 0.8203
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.9190 / 0.0810,381.05,0.0099 / 0.9140
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.9560 / 0.0440,382.05,0.0034 / 0.9827
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.9820 / 0.0180,383.35,-0.0127 / 1.0604
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0130 / 0.9870,363.15,0.9792 / 0.0686
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0450 / 0.9550,363.15,0.9145 / 0.0687
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.0720 / 0.9280,363.15,0.8556 / 0.0690
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.1180 / 0.8820,363.15,0.7982 / 0.0803
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.1750 / 0.8250,363.15,0.7031 / 0.1083
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.2340 / 0.7660,363.15,0.6675 / 0.1167
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.2840 / 0.7160,363.15,0.6206 / 0.1306
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.3680 / 0.6320,363.15,0.5011 / 0.1736
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.4400 / 0.5600,363.15,0.3994 / 0.2690
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.4720 / 0.5280,363.15,0.3854 / 0.2585
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.5350 / 0.4650,363.15,0.3192 / 0.3370
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.6340 / 0.3660,363.15,0.2087 / 0.4791
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.6960 / 0.3040,363.15,0.1684 / 0.5566
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.7050 / 0.2950,363.15,0.1640 / 0.5655
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.8180 / 0.1820,363.15,0.0761 / 0.8169
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.9060 / 0.0940,363.15,0.0334 / 1.0393
kdb_solvent_3 / kdb_solvent_27,TOLUENE / N-BUTANOL,0.9600 / 0.0400,363.15,0.0173 / 1.2412
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0200 / 0.9800,388.15,0.5355 / 0.0019
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0300 / 0.9700,387.15,0.4923 / 0.0195
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0425 / 0.9575,386.45,0.4675 / 0.0254
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0950 / 0.9050,384.35,0.5113 / 0.0069
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.1350 / 0.8650,382.85,0.4692 / 0.0104
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.2000 / 0.8000,381.15,0.3908 / 0.0143
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.2470 / 0.7530,380.15,0.3121 / 0.0402
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.3050 / 0.6950,379.05,0.2375 / 0.0756
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.3460 / 0.6540,378.15,0.2323 / 0.0792
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.4100 / 0.5900,377.25,0.1797 / 0.1119
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.4360 / 0.5640,376.65,0.1891 / 0.1084
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.4450 / 0.5550,376.75,0.1615 / 0.1271
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.4880 / 0.5120,375.75,0.1570 / 0.1547
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.5700 / 0.4300,374.75,0.1096 / 0.2268
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.6400 / 0.3600,374.55,0.0663 / 0.2731
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.6820 / 0.3180,373.75,0.0811 / 0.2816
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.7650 / 0.2350,373.55,0.0503 / 0.3336
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.8350 / 0.1650,373.05,0.0139 / 0.5448
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.8900 / 0.1100,373.45,0.0034 / 0.5604
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.9400 / 0.0600,373.85,-0.0073 / 0.6149
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0250 / 0.9750,353.15,0.6123 / -0.0059
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0480 / 0.9520,353.15,0.5870 / -0.0099
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.0870 / 0.9130,353.15,0.4902 / -0.0027
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.1050 / 0.8950,353.15,0.4714 / 0.0143
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.1600 / 0.8400,353.15,0.4630 / 0.0011
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.1650 / 0.8350,353.15,0.4567 / 0.0093
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.2500 / 0.7500,353.15,0.3482 / 0.0441
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.3500 / 0.6500,353.15,0.2793 / 0.0732
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.4350 / 0.5650,353.15,0.2127 / 0.1410
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.5500 / 0.4500,353.15,0.1457 / 0.1937
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.6500 / 0.3500,353.15,0.1028 / 0.2855
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.7800 / 0.2200,353.15,0.0928 / 0.1172
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.7820 / 0.2180,353.15,0.0237 / 0.4726
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.8170 / 0.1830,353.15,0.0132 / 0.4918
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.9100 / 0.0900,353.15,-0.0005 / 0.6266
kdb_solvent_2 / kdb_solvent_106,METHYLCYCLOHEXANE / METHYL ISOBUTYL KETONE,0.9550 / 0.0450,353.15,-0.0014 / 0.6836
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0407 / 0.9593,308.15,0.0138 / 0.0006
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0712 / 0.9288,308.15,0.0116 / -0.0002
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1381 / 0.8619,308.15,0.0100 / -0.0008
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2001 / 0.7999,308.15,0.0072 / 0.0041
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2701 / 0.7299,308.15,0.0049 / 0.0045
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3762 / 0.6238,308.15,0.0032 / 0.0085
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4111 / 0.5889,308.15,0.0022 / 0.0090
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4943 / 0.5057,308.15,-0.0025 / 0.0090
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5621 / 0.4379,308.15,-0.0032 / 0.0133
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6145 / 0.3855,308.15,-0.0052 / 0.0185
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6589 / 0.3411,308.15,-0.0048 / 0.0230
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7346 / 0.2654,308.15,-0.0036 / 0.0263
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7971 / 0.2029,308.15,-0.0042 / 0.0291
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8834 / 0.1166,308.15,-0.0051 / 0.0331
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0630 / 0.9370,313.15,0.0170 / 0.0011
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1397 / 0.8603,313.15,0.0134 / 0.0017
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2236 / 0.7764,313.15,0.0143 / 0.0064
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2731 / 0.7269,313.15,0.0032 / 0.0041
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3342 / 0.6658,313.15,0.0039 / 0.0047
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3995 / 0.6005,313.15,0.0020 / 0.0069
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4719 / 0.5281,313.15,0.0007 / 0.0098
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4897 / 0.5103,313.15,0.0114 / 0.0211
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5352 / 0.4648,313.15,-0.0040 / 0.0141
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5498 / 0.4502,313.15,0.0027 / 0.0177
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5731 / 0.4269,313.15,0.0131 / 0.0231
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6059 / 0.3941,313.15,-0.0075 / 0.0178
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6428 / 0.3572,313.15,0.0059 / 0.0405
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6664 / 0.3336,313.15,-0.0052 / 0.0241
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7224 / 0.2776,313.15,-0.0046 / 0.0264
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7299 / 0.2701,313.15,0.0054 / 0.0273
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7858 / 0.2142,313.15,-0.0057 / 0.0324
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8265 / 0.1735,313.15,0.0036 / 0.0447
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8772 / 0.1228,313.15,-0.0057 / 0.0375
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.9032 / 0.0968,313.15,-0.0029 / 0.0453
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8956 / 0.1044,313.15,0.0039 / 0.0375
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0382 / 0.9618,318.15,0.0166 / -0.0009
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0771 / 0.9229,318.15,0.0116 / 0.0014
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1317 / 0.8683,318.15,0.0100 / 0.0019
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2081 / 0.7919,318.15,0.0075 / 0.0030
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2587 / 0.7413,318.15,0.0043 / 0.0031
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3396 / 0.6604,318.15,0.0018 / 0.0038
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3982 / 0.6018,318.15,0.0002 / 0.0051
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4502 / 0.5498,318.15,-0.0005 / 0.0078
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4973 / 0.5027,318.15,-0.0006 / 0.0096
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5715 / 0.4285,318.15,-0.0060 / 0.0184
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6254 / 0.3746,318.15,-0.0075 / 0.0242
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6689 / 0.3311,318.15,-0.0054 / 0.0234
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7321 / 0.2679,318.15,-0.0072 / 0.0277
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7869 / 0.2131,318.15,-0.0059 / 0.0309
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8679 / 0.1321,318.15,-0.0086 / 0.0396
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0767 / 0.9233,328.15,0.0108 / -0.0062
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1117 / 0.8883,328.15,0.0100 / -0.0022
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1518 / 0.8482,328.15,0.0076 / 0.0019
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2122 / 0.7878,328.15,0.0025 / 0.0020
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2719 / 0.7281,328.15,-0.0018 / 0.0025
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3175 / 0.6825,328.15,-0.0008 / 0.0026
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3967 / 0.6033,328.15,-0.0031 / 0.0052
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4672 / 0.5328,328.15,-0.0039 / 0.0088
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5423 / 0.4577,328.15,-0.0076 / 0.0121
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6111 / 0.3889,328.15,-0.0081 / 0.0185
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6721 / 0.3279,328.15,-0.0085 / 0.0189
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7371 / 0.2629,328.15,-0.0087 / 0.0246
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7978 / 0.2022,328.15,-0.0056 / 0.0312
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8422 / 0.1578,328.15,-0.0042 / 0.0371
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.9099 / 0.0901,328.15,-0.0032 / 0.0498
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0489 / 0.9511,338.15,0.0014 / -0.0075
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.0782 / 0.9218,338.15,-0.0016 / -0.0057
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.1483 / 0.8517,338.15,-0.0052 / -0.0013
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2081 / 0.7919,338.15,-0.0080 / -0.0017
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.2732 / 0.7268,338.15,-0.0100 / -0.0003
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.3646 / 0.6354,338.15,-0.0097 / 0.0036
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4487 / 0.5513,338.15,-0.0111 / 0.0089
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.4959 / 0.5041,338.15,-0.0114 / 0.0099
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.5491 / 0.4509,338.15,-0.0136 / 0.0186
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6362 / 0.3638,338.15,-0.0121 / 0.0191
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.6961 / 0.3039,338.15,-0.0404 / 0.0875
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7242 / 0.2758,338.15,-0.0097 / 0.0331
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.7947 / 0.2053,338.15,-0.0084 / 0.0361
kdb_solvent_4 / kdb_solvent_3,CARBON TETRACHLORIDE / TOLUENE,0.8306 / 0.1694,338.15,-0.0068 / 0.0390
