solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_366 / solvent_60,1 / 0,298.15,0 / 1.98,aci
solvent_366 / solvent_50,1 / 0,298.15,0 / 1.68,aci
solvent_366 / solvent_19,1 / 0,298.15,0 / 2.14,aci
solvent_366 / solvent_2,1 / 0,298.15,0 / 1.89,aci
solvent_366 / solvent_124,1 / 0,298.15,0 / 1.28,aci
solvent_366 / solvent_394,1 / 0,298.15,0 / 1.21,aci
solvent_366 / solvent_93,1 / 0,298.15,0 / 0.73,aci
solvent_366 / solvent_13,1 / 0,298.15,0 / 2.09,aci
solvent_366 / solvent_1,1 / 0,298.15,0 / 2.09,aci
solvent_366 / solvent_723,1 / 0,298.15,0 / 0.49,aci
solvent_366 / solvent_87,1 / 0,298.15,0 / -0.09,aci
solvent_366 / solvent_57,1 / 0,298.15,0 / -0.13,aci
solvent_366 / solvent_4,1 / 0,298.15,0 / 0.86,aci
solvent_366 / solvent_544,1 / 0,298.15,0 / 0.42,aci
solvent_366 / solvent_553,1 / 0,298.15,0 / 0.78,aci
solvent_366 / solvent_20,1 / 0,298.15,0 / 1.37,aci
solvent_189 / solvent_5,1 / 0,298.15,0 / 0.95,aci
solvent_189 / solvent_60,1 / 0,298.15,0 / 1.1,aci
solvent_189 / solvent_50,1 / 0,298.15,0 / 1.03,aci
solvent_189 / solvent_190,1 / 0,298.15,0 / 1.08,aci
solvent_189 / solvent_19,1 / 0,298.15,0 / 1.2,aci
solvent_189 / solvent_128,1 / 0,298.15,0 / 1.17,aci
solvent_189 / solvent_44,1 / 0,298.15,0 / 1.31,aci
solvent_189 / solvent_844,1 / 0,298.15,0 / 1.19,aci
solvent_189 / solvent_900,1 / 0,298.15,0 / 1.25,aci
solvent_189 / solvent_126,1 / 0,298.15,0 / 1.22,aci
solvent_189 / solvent_123,1 / 0,298.15,0 / 1.46,aci
solvent_38 / solvent_5,1 / 0,298.15,0 / 1.61,aci
solvent_38 / solvent_60,1 / 0,298.15,0 / 1.88,aci
solvent_38 / solvent_50,1 / 0,298.15,0 / 1.6,aci
solvent_38 / solvent_190,1 / 0,298.15,0 / 1.85,aci
solvent_38 / solvent_19,1 / 0,298.15,0 / 2.04,aci
solvent_38 / solvent_128,1 / 0,298.15,0 / 2.01,aci
solvent_38 / solvent_44,1 / 0,298.15,0 / 2.24,aci
solvent_38 / solvent_49,1 / 0,298.15,0 / 2.01,aci
solvent_38 / solvent_844,1 / 0,298.15,0 / 2.07,aci
solvent_38 / solvent_900,1 / 0,298.15,0 / 2.17,aci
solvent_38 / solvent_126,1 / 0,298.15,0 / 2.09,aci
solvent_38 / solvent_123,1 / 0,298.15,0 / 2.38,aci
solvent_38 / solvent_822,1 / 0,298.15,0 / 2.09,aci
solvent_38 / solvent_18,1 / 0,298.15,0 / 1.56,aci
solvent_38 / solvent_3,1 / 0,298.15,0 / 1.71,aci
solvent_38 / solvent_24,1 / 0,298.15,0 / 2.65,aci
solvent_38 / solvent_25,1 / 0,298.15,0 / 1.91,aci
solvent_38 / solvent_191,1 / 0,298.15,0 / 2.31,aci
solvent_38 / solvent_1,1 / 0,298.15,0 / -0.13,aci
solvent_38 / solvent_112,1 / 0,298.15,0 / 1.1,aci
solvent_38 / solvent_12,1 / 0,298.15,0 / 0.89,aci
solvent_810 / solvent_60,1 / 0,298.15,0 / 1.63,aci
solvent_810 / solvent_50,1 / 0,298.15,0 / 1.35,aci
solvent_810 / solvent_234,1 / 0,298.15,0 / 1.52,aci
solvent_810 / solvent_19,1 / 0,298.15,0 / 1.81,aci
solvent_810 / solvent_123,1 / 0,298.15,0 / 2.16,aci
solvent_810 / solvent_18,1 / 0,298.15,0 / 0.48,aci
solvent_810 / solvent_3,1 / 0,298.15,0 / 0.71,aci
solvent_810 / solvent_24,1 / 0,298.15,0 / 1,aci
solvent_810 / solvent_25,1 / 0,298.15,0 / 0.95,aci
solvent_810 / solvent_191,1 / 0,298.15,0 / 0.92,aci
solvent_810 / solvent_41,1 / 0,298.15,0 / 0.94,aci
solvent_810 / solvent_885,1 / 0,298.15,0 / 1.25,aci
solvent_810 / solvent_141,1 / 0,298.15,0 / 0.81,aci
solvent_810 / solvent_38,1 / 0,298.15,0 / 0.39,aci
solvent_810 / solvent_9,1 / 0,298.15,0 / 0.03,aci
solvent_810 / solvent_112,1 / 0,298.15,0 / 0.42,aci
solvent_810 / solvent_12,1 / 0,298.15,0 / 0.43,aci
solvent_810 / solvent_87,1 / 0,298.15,0 / -0.36,aci
solvent_810 / solvent_823,1 / 0,298.15,0 / 0.38,aci
solvent_810 / solvent_108,1 / 0,298.15,0 / 0.48,aci
solvent_810 / solvent_228,1 / 0,298.15,0 / 0.58,aci
solvent_810 / solvent_15,1 / 0,298.15,0 / 0.78,aci
solvent_810 / solvent_109,1 / 0,298.15,0 / 0.34,aci
solvent_873 / solvent_60,1 / 0,298.15,0 / 0.57,aci
solvent_873 / solvent_19,1 / 0,298.15,0 / 1.11,aci
solvent_873 / solvent_44,1 / 0,298.15,0 / 1.37,aci
solvent_805 / solvent_44,1 / 0,298.15,0 / 0.35,aci
solvent_212 / solvent_5,1 / 0,298.15,0 / 0.54,aci
solvent_212 / solvent_60,1 / 0,298.15,0 / 1.39,aci
solvent_212 / solvent_50,1 / 0,298.15,0 / 1.11,aci
solvent_212 / solvent_190,1 / 0,298.15,0 / 1.25,aci
solvent_212 / solvent_19,1 / 0,298.15,0 / 1.44,aci
solvent_212 / solvent_128,1 / 0,298.15,0 / 1.39,aci
solvent_212 / solvent_44,1 / 0,298.15,0 / 1.59,aci
solvent_212 / solvent_844,1 / 0,298.15,0 / 1.47,aci
solvent_212 / solvent_123,1 / 0,298.15,0 / 1.84,aci
solvent_212 / solvent_822,1 / 0,298.15,0 / 1.52,aci
solvent_212 / solvent_3,1 / 0,298.15,0 / 1.09,aci
solvent_212 / solvent_1,1 / 0,298.15,0 / -0.13,aci
solvent_212 / solvent_112,1 / 0,298.15,0 / 0.74,aci
solvent_212 / solvent_12,1 / 0,298.15,0 / 0.6,aci
solvent_212 / solvent_7,1 / 0,298.15,0 / -0.42,aci
solvent_827 / solvent_60,1 / 0,298.15,0 / 3.39,aci
solvent_827 / solvent_50,1 / 0,298.15,0 / 2.83,aci
solvent_827 / solvent_234,1 / 0,298.15,0 / 2.84,aci
solvent_827 / solvent_19,1 / 0,298.15,0 / 3.67,aci
solvent_827 / solvent_2,1 / 0,298.15,0 / 3.11,aci
solvent_827 / solvent_49,1 / 0,298.15,0 / 3.74,aci
solvent_827 / solvent_18,1 / 0,298.15,0 / 0.53,aci
solvent_827 / solvent_3,1 / 0,298.15,0 / 0.83,aci
solvent_107 / solvent_5,1 / 0,298.15,0 / 0.94,aci
solvent_107 / solvent_124,1 / 0,298.15,0 / 0.58,aci
solvent_484 / solvent_60,1 / 0,298.15,0 / 2.04,aci
solvent_84 / solvent_5,1 / 0,298.15,0 / 2.46,aci
solvent_84 / solvent_60,1 / 0,298.15,0 / 2.79,aci
solvent_84 / solvent_50,1 / 0,298.15,0 / 2.88,aci
solvent_84 / solvent_190,1 / 0,298.15,0 / 2.78,aci
solvent_84 / solvent_19,1 / 0,298.15,0 / 3.14,aci
solvent_84 / solvent_128,1 / 0,298.15,0 / 2.96,aci
solvent_84 / solvent_44,1 / 0,298.15,0 / 3.37,aci
solvent_84 / solvent_844,1 / 0,298.15,0 / 3.06,aci
solvent_84 / solvent_900,1 / 0,298.15,0 / 3.25,aci
solvent_84 / solvent_126,1 / 0,298.15,0 / 3.12,aci
solvent_84 / solvent_123,1 / 0,298.15,0 / 3.63,aci
solvent_84 / solvent_18,1 / 0,298.15,0 / 1.34,aci
solvent_32 / solvent_60,1 / 0,298.15,0 / 1.81,aci
solvent_32 / solvent_18,1 / 0,298.15,0 / 0.51,aci
solvent_32 / solvent_5,1 / 0,298.15,0 / 1.65,aci
solvent_32 / solvent_50,1 / 0,298.15,0 / 1.84,aci
solvent_32 / solvent_190,1 / 0,298.15,0 / 1.88,aci
solvent_32 / solvent_19,1 / 0,298.15,0 / 2.12,aci
solvent_32 / solvent_128,1 / 0,298.15,0 / 2.04,aci
solvent_32 / solvent_44,1 / 0,298.15,0 / 2.35,aci
solvent_32 / solvent_844,1 / 0,298.15,0 / 2.14,aci
solvent_32 / solvent_900,1 / 0,298.15,0 / 2.24,aci
solvent_32 / solvent_126,1 / 0,298.15,0 / 2.21,aci
solvent_32 / solvent_123,1 / 0,298.15,0 / 2.54,aci
solvent_32 / solvent_822,1 / 0,298.15,0 / 2.16,aci
solvent_32 / solvent_3,1 / 0,298.15,0 / 0.64,aci
solvent_32 / solvent_124,1 / 0,298.15,0 / 1.15,aci
solvent_32 / solvent_13,1 / 0,298.15,0 / 0.61,aci
solvent_32 / solvent_1,1 / 0,298.15,0 / 0.85,aci
solvent_32 / solvent_112,1 / 0,298.15,0 / 0.28,aci
solvent_32 / solvent_12,1 / 0,298.15,0 / 0.06,aci
solvent_32 / solvent_57,1 / 0,298.15,0 / -0.71,aci
solvent_32 / solvent_4,1 / 0,298.15,0 / 0.86,aci
solvent_32 / solvent_553,1 / 0,298.15,0 / 0.82,aci
solvent_32 / solvent_7,1 / 0,298.15,0 / 1.42,aci
solvent_32 / solvent_20,1 / 0,298.15,0 / 1.48,aci
solvent_15 / solvent_5,1 / 0,298.15,0 / 2.96,aci
solvent_15 / solvent_136,1 / 0,298.15,0 / 2.75,aci
solvent_15 / solvent_251,1 / 0,298.15,0 / 2.76,aci
solvent_15 / solvent_60,1 / 0,298.15,0 / 3.27,aci
solvent_15 / solvent_50,1 / 0,298.15,0 / 3.08,aci
solvent_15 / solvent_190,1 / 0,298.15,0 / 3.22,aci
solvent_15 / solvent_132,1 / 0,298.15,0 / 3.17,aci
solvent_15 / solvent_135,1 / 0,298.15,0 / 3.27,aci
solvent_15 / solvent_815,1 / 0,298.15,0 / 3.12,aci
solvent_15 / solvent_19,1 / 0,298.15,0 / 3.63,aci
solvent_15 / solvent_887,1 / 0,298.15,0 / 3.7,aci
solvent_15 / solvent_866,1 / 0,298.15,0 / 3.56,aci
solvent_15 / solvent_128,1 / 0,298.15,0 / 3.57,aci
solvent_15 / solvent_892,1 / 0,298.15,0 / 3.61,aci
solvent_15 / solvent_2,1 / 0,298.15,0 / 3.47,aci
solvent_15 / solvent_44,1 / 0,298.15,0 / 4,aci
solvent_15 / solvent_49,1 / 0,298.15,0 / 3.68,aci
solvent_15 / solvent_126,1 / 0,298.15,0 / 3.71,aci
solvent_15 / solvent_123,1 / 0,298.15,0 / 4.4,aci
solvent_15 / solvent_18,1 / 0,298.15,0 / 1.07,aci
solvent_15 / solvent_3,1 / 0,298.15,0 / 1.47,aci
solvent_15 / solvent_24,1 / 0,298.15,0 / 1.89,aci
solvent_15 / solvent_25,1 / 0,298.15,0 / 1.89,aci
solvent_15 / solvent_191,1 / 0,298.15,0 / 1.81,aci
solvent_15 / solvent_41,1 / 0,298.15,0 / 1.8,aci
solvent_15 / solvent_124,1 / 0,298.15,0 / 2.03,aci
solvent_15 / solvent_799,1 / 0,298.15,0 / 2.62,aci
solvent_15 / solvent_102,1 / 0,298.15,0 / 2.6,aci
solvent_15 / solvent_176,1 / 0,298.15,0 / 2.49,aci
solvent_15 / solvent_309,1 / 0,298.15,0 / 3.04,aci
solvent_15 / solvent_46,1 / 0,298.15,0 / 3.37,aci
solvent_15 / solvent_234,1 / 0,298.15,0 / 3.13,aci
solvent_15 / solvent_821,1 / 0,298.15,0 / 3.55,aci
solvent_15 / solvent_240,1 / 0,298.15,0 / 3.14,aci
solvent_15 / solvent_844,1 / 0,298.15,0 / 3.65,aci
solvent_15 / solvent_900,1 / 0,298.15,0 / 3.85,aci
solvent_15 / solvent_822,1 / 0,298.15,0 / 3.71,aci
solvent_15 / solvent_1,1 / 0,298.15,0 / 1.38,aci
solvent_15 / solvent_22,1 / 0,298.15,0 / 1.87,aci
solvent_15 / solvent_38,1 / 0,298.15,0 / 1.61,aci
solvent_15 / solvent_27,1 / 0,298.15,0 / 2.1,aci
solvent_15 / solvent_101,1 / 0,298.15,0 / 0.95,aci
solvent_15 / solvent_172,1 / 0,298.15,0 / 1.26,aci
solvent_15 / solvent_104,1 / 0,298.15,0 / 1.57,aci
solvent_15 / solvent_112,1 / 0,298.15,0 / 0.31,aci
solvent_15 / solvent_32,1 / 0,298.15,0 / 0.04,aci
solvent_15 / solvent_12,1 / 0,298.15,0 / 0.2,aci
solvent_15 / solvent_87,1 / 0,298.15,0 / -0.04,aci
solvent_15 / solvent_57,1 / 0,298.15,0 / 0.25,aci
solvent_185 / solvent_60,1 / 0,298.15,0 / 1.83,aci
solvent_185 / solvent_18,1 / 0,298.15,0 / 0.19,aci
solvent_185 / solvent_5,1 / 0,298.15,0 / 1.68,aci
solvent_185 / solvent_50,1 / 0,298.15,0 / 1.48,aci
solvent_185 / solvent_190,1 / 0,298.15,0 / 1.84,aci
solvent_185 / solvent_19,1 / 0,298.15,0 / 1.94,aci
solvent_185 / solvent_128,1 / 0,298.15,0 / 2.03,aci
solvent_185 / solvent_2,1 / 0,298.15,0 / 1.51,aci
solvent_185 / solvent_44,1 / 0,298.15,0 / 2.08,aci
solvent_185 / solvent_844,1 / 0,298.15,0 / 2.01,aci
solvent_185 / solvent_900,1 / 0,298.15,0 / 2.24,aci
solvent_185 / solvent_126,1 / 0,298.15,0 / 1.77,aci
solvent_185 / solvent_123,1 / 0,298.15,0 / 2.26,aci
solvent_185 / solvent_822,1 / 0,298.15,0 / 2.07,aci
solvent_185 / solvent_3,1 / 0,298.15,0 / 0.23,aci
solvent_185 / solvent_124,1 / 0,298.15,0 / 1.3,aci
solvent_185 / solvent_365,1 / 0,298.15,0 / 1.12,aci
solvent_185 / solvent_394,1 / 0,298.15,0 / 1.02,aci
solvent_185 / solvent_93,1 / 0,298.15,0 / 0.68,aci
solvent_28 / solvent_60,1 / 0,298.15,0 / 1.43,aci
solvent_28 / solvent_50,1 / 0,298.15,0 / 1.37,aci
solvent_28 / solvent_18,1 / 0,298.15,0 / 0.22,aci
solvent_28 / solvent_3,1 / 0,298.15,0 / 0.31,aci
solvent_665 / solvent_5,1 / 0,298.15,0 / 1.77,aci
solvent_665 / solvent_124,1 / 0,298.15,0 / 1.24,aci
solvent_198 / solvent_60,1 / 0,298.15,0 / 3.21,aci
solvent_198 / solvent_18,1 / 0,298.15,0 / 0.78,aci
solvent_198 / solvent_5,1 / 0,298.15,0 / 2.68,aci
solvent_198 / solvent_50,1 / 0,298.15,0 / 2.46,aci
solvent_198 / solvent_190,1 / 0,298.15,0 / 3.02,aci
solvent_198 / solvent_19,1 / 0,298.15,0 / 3.29,aci
solvent_198 / solvent_128,1 / 0,298.15,0 / 3.32,aci
solvent_198 / solvent_2,1 / 0,298.15,0 / 2.82,aci
solvent_198 / solvent_44,1 / 0,298.15,0 / 3.6,aci
solvent_198 / solvent_49,1 / 0,298.15,0 / 3.61,aci
solvent_198 / solvent_844,1 / 0,298.15,0 / 3.4,aci
solvent_198 / solvent_126,1 / 0,298.15,0 / 2.98,aci
solvent_198 / solvent_123,1 / 0,298.15,0 / 3.9,aci
solvent_198 / solvent_822,1 / 0,298.15,0 / 3.55,aci
solvent_198 / solvent_3,1 / 0,298.15,0 / 1.04,aci
solvent_198 / solvent_124,1 / 0,298.15,0 / 2.3,aci
solvent_198 / solvent_365,1 / 0,298.15,0 / 2.2,aci
solvent_198 / solvent_394,1 / 0,298.15,0 / 2.12,aci
solvent_198 / solvent_93,1 / 0,298.15,0 / 1.61,aci
solvent_198 / solvent_13,1 / 0,298.15,0 / 0.86,aci
solvent_198 / solvent_1,1 / 0,298.15,0 / 0.88,aci
solvent_198 / solvent_66,1 / 0,298.15,0 / 0.36,aci
solvent_198 / solvent_112,1 / 0,298.15,0 / -0.97,aci
solvent_198 / solvent_32,1 / 0,298.15,0 / -0.22,aci
solvent_198 / solvent_12,1 / 0,298.15,0 / -0.49,aci
solvent_198 / solvent_723,1 / 0,298.15,0 / 1.07,aci
solvent_198 / solvent_99,1 / 0,298.15,0 / 1.55,aci
solvent_198 / solvent_87,1 / 0,298.15,0 / 0.34,aci
solvent_198 / solvent_57,1 / 0,298.15,0 / 0.4,aci
solvent_198 / solvent_4,1 / 0,298.15,0 / 1.54,aci
solvent_198 / solvent_544,1 / 0,298.15,0 / 0.75,aci
solvent_198 / solvent_553,1 / 0,298.15,0 / 1.02,aci
solvent_198 / solvent_20,1 / 0,298.15,0 / 1.24,aci
solvent_436 / solvent_5,1 / 0,298.15,0 / 1.17,aci
solvent_436 / solvent_60,1 / 0,298.15,0 / 1.33,aci
solvent_436 / solvent_50,1 / 0,298.15,0 / 1.01,aci
solvent_436 / solvent_190,1 / 0,298.15,0 / 1.32,aci
solvent_436 / solvent_19,1 / 0,298.15,0 / 1.39,aci
solvent_436 / solvent_128,1 / 0,298.15,0 / 1.45,aci
solvent_436 / solvent_44,1 / 0,298.15,0 / 1.49,aci
solvent_436 / solvent_844,1 / 0,298.15,0 / 1.42,aci
solvent_436 / solvent_900,1 / 0,298.15,0 / 1.56,aci
solvent_436 / solvent_126,1 / 0,298.15,0 / 1.21,aci
solvent_436 / solvent_123,1 / 0,298.15,0 / 1.59,aci
solvent_436 / solvent_822,1 / 0,298.15,0 / 1.46,aci
solvent_436 / solvent_18,1 / 0,298.15,0 / 0.05,aci
solvent_436 / solvent_124,1 / 0,298.15,0 / 0.87,aci
solvent_436 / solvent_394,1 / 0,298.15,0 / 0.8,aci
solvent_436 / solvent_93,1 / 0,298.15,0 / 0.43,aci
solvent_436 / solvent_13,1 / 0,298.15,0 / 2.36,aci
solvent_436 / solvent_1,1 / 0,298.15,0 / 2.26,aci
solvent_436 / solvent_66,1 / 0,298.15,0 / 0.08,aci
solvent_436 / solvent_723,1 / 0,298.15,0 / 0.13,aci
solvent_436 / solvent_87,1 / 0,298.15,0 / -0.26,aci
solvent_436 / solvent_57,1 / 0,298.15,0 / -0.39,aci
solvent_436 / solvent_4,1 / 0,298.15,0 / 0.25,aci
solvent_436 / solvent_544,1 / 0,298.15,0 / 0.08,aci
solvent_436 / solvent_553,1 / 0,298.15,0 / 0.11,aci
solvent_436 / solvent_20,1 / 0,298.15,0 / 0.48,aci
solvent_18 / solvent_5,1 / 0,298.15,0 / 0.71,aci
solvent_18 / solvent_136,1 / 0,298.15,0 / 0.44,aci
solvent_18 / solvent_60,1 / 0,298.15,0 / 0.78,aci
solvent_18 / solvent_50,1 / 0,298.15,0 / 0.57,aci
solvent_18 / solvent_190,1 / 0,298.15,0 / 0.8,aci
solvent_18 / solvent_234,1 / 0,298.15,0 / 0.5,aci
solvent_18 / solvent_19,1 / 0,298.15,0 / 0.76,aci
solvent_18 / solvent_128,1 / 0,298.15,0 / 0.87,aci
solvent_18 / solvent_2,1 / 0,298.15,0 / 0.59,aci
solvent_18 / solvent_44,1 / 0,298.15,0 / 0.78,aci
solvent_18 / solvent_227,1 / 0,298.15,0 / 0.62,aci
solvent_18 / solvent_844,1 / 0,298.15,0 / 0.82,aci
solvent_18 / solvent_900,1 / 0,298.15,0 / 0.78,aci
solvent_18 / solvent_126,1 / 0,298.15,0 / 0.67,aci
solvent_18 / solvent_123,1 / 0,298.15,0 / 0.85,aci
solvent_18 / solvent_902,1 / 0,298.15,0 / 0.6,aci
solvent_18 / solvent_3,1 / 0,298.15,0 / -0.08,aci
solvent_18 / solvent_25,1 / 0,298.15,0 / 0.06,aci
solvent_18 / solvent_124,1 / 0,298.15,0 / 0.53,aci
solvent_18 / solvent_394,1 / 0,298.15,0 / 0.51,aci
solvent_18 / solvent_93,1 / 0,298.15,0 / 0.22,aci
solvent_18 / solvent_13,1 / 0,298.15,0 / 2.97,aci
solvent_18 / solvent_1,1 / 0,298.15,0 / 2.78,aci
solvent_18 / solvent_66,1 / 0,298.15,0 / 0.23,aci
solvent_18 / solvent_6,1 / 0,298.15,0 / 0.04,aci
solvent_18 / solvent_112,1 / 0,298.15,0 / -0.03,aci
solvent_18 / solvent_32,1 / 0,298.15,0 / 0.52,aci
solvent_18 / solvent_12,1 / 0,298.15,0 / 0.2,aci
solvent_18 / solvent_723,1 / 0,298.15,0 / 0.06,aci
solvent_18 / solvent_99,1 / 0,298.15,0 / 0.23,aci
solvent_18 / solvent_87,1 / 0,298.15,0 / -0.08,aci
solvent_18 / solvent_57,1 / 0,298.15,0 / -0.21,aci
solvent_18 / solvent_4,1 / 0,298.15,0 / 0.12,aci
solvent_18 / solvent_544,1 / 0,298.15,0 / 0.01,aci
solvent_18 / solvent_111,1 / 0,298.15,0 / 0.64,aci
solvent_18 / solvent_455,1 / 0,298.15,0 / 0.29,aci
solvent_18 / solvent_40,1 / 0,298.15,0 / 1.25,aci
solvent_18 / solvent_553,1 / 0,298.15,0 / 0.11,aci
solvent_18 / solvent_7,1 / 0,298.15,0 / 0.26,aci
solvent_18 / solvent_20,1 / 0,298.15,0 / 0.39,aci
solvent_18 / solvent_55,1 / 0,298.15,0 / 4.65,aci
solvent_439 / solvent_5,1 / 0,298.15,0 / 1.62,aci
solvent_439 / solvent_60,1 / 0,298.15,0 / 1.8,aci
solvent_439 / solvent_50,1 / 0,298.15,0 / 1.54,aci
solvent_439 / solvent_190,1 / 0,298.15,0 / 1.84,aci
solvent_439 / solvent_19,1 / 0,298.15,0 / 1.94,aci
solvent_439 / solvent_128,1 / 0,298.15,0 / 2.03,aci
solvent_439 / solvent_44,1 / 0,298.15,0 / 2.08,aci
solvent_439 / solvent_844,1 / 0,298.15,0 / 2.04,aci
solvent_439 / solvent_900,1 / 0,298.15,0 / 2.22,aci
solvent_439 / solvent_126,1 / 0,298.15,0 / 1.85,aci
solvent_439 / solvent_123,1 / 0,298.15,0 / 2.26,aci
solvent_439 / solvent_822,1 / 0,298.15,0 / 2.12,aci
solvent_439 / solvent_18,1 / 0,298.15,0 / 0.22,aci
solvent_439 / solvent_3,1 / 0,298.15,0 / 0.27,aci
solvent_439 / solvent_124,1 / 0,298.15,0 / 1.26,aci
solvent_439 / solvent_365,1 / 0,298.15,0 / 1.08,aci
solvent_439 / solvent_394,1 / 0,298.15,0 / 1.11,aci
solvent_439 / solvent_93,1 / 0,298.15,0 / 0.73,aci
solvent_439 / solvent_13,1 / 0,298.15,0 / 1.53,aci
solvent_439 / solvent_1,1 / 0,298.15,0 / 1.52,aci
solvent_439 / solvent_112,1 / 0,298.15,0 / -0.2,aci
solvent_439 / solvent_12,1 / 0,298.15,0 / -0.13,aci
solvent_439 / solvent_87,1 / 0,298.15,0 / -0.36,aci
solvent_439 / solvent_544,1 / 0,298.15,0 / 0.28,aci
solvent_439 / solvent_553,1 / 0,298.15,0 / 0.45,aci
solvent_439 / solvent_20,1 / 0,298.15,0 / 0.83,aci
solvent_849 / solvent_60,1 / 0,298.15,0 / 1.66,aci
solvent_849 / solvent_50,1 / 0,298.15,0 / 1.24,aci
solvent_849 / solvent_18,1 / 0,298.15,0 / 0.04,aci
solvent_849 / solvent_872,1 / 0,298.15,0 / 0.78,aci
solvent_849 / solvent_93,1 / 0,298.15,0 / 0.52,aci
solvent_849 / solvent_66,1 / 0,298.15,0 / 0,aci
solvent_849 / solvent_32,1 / 0,298.15,0 / 0.11,aci
solvent_849 / solvent_723,1 / 0,298.15,0 / 0.2,aci
solvent_849 / solvent_99,1 / 0,298.15,0 / 0.52,aci
solvent_849 / solvent_51,1 / 0,298.15,0 / -0.34,aci
solvent_849 / solvent_57,1 / 0,298.15,0 / -0.67,aci
solvent_849 / solvent_4,1 / 0,298.15,0 / 0.34,aci
solvent_849 / solvent_544,1 / 0,298.15,0 / 0.02,aci
solvent_849 / solvent_15,1 / 0,298.15,0 / 0.41,aci
solvent_849 / solvent_256,1 / 0,298.15,0 / 0.12,aci
solvent_849 / solvent_553,1 / 0,298.15,0 / 0.28,aci
solvent_237 / solvent_5,1 / 0,298.15,0 / 2.36,aci
solvent_237 / solvent_136,1 / 0,298.15,0 / 1.77,aci
solvent_237 / solvent_60,1 / 0,298.15,0 / 2.59,aci
solvent_237 / solvent_50,1 / 0,298.15,0 / 2.06,aci
solvent_237 / solvent_190,1 / 0,298.15,0 / 2.58,aci
solvent_237 / solvent_234,1 / 0,298.15,0 / 2.09,aci
solvent_237 / solvent_19,1 / 0,298.15,0 / 2.81,aci
solvent_237 / solvent_128,1 / 0,298.15,0 / 2.85,aci
solvent_237 / solvent_44,1 / 0,298.15,0 / 3,aci
solvent_237 / solvent_844,1 / 0,298.15,0 / 2.86,aci
solvent_237 / solvent_900,1 / 0,298.15,0 / 3.07,aci
solvent_237 / solvent_126,1 / 0,298.15,0 / 2.56,aci
solvent_237 / solvent_123,1 / 0,298.15,0 / 3.3,aci
solvent_237 / solvent_822,1 / 0,298.15,0 / 3.06,aci
solvent_237 / solvent_18,1 / 0,298.15,0 / 0.91,aci
solvent_237 / solvent_3,1 / 0,298.15,0 / 1,aci
solvent_237 / solvent_365,1 / 0,298.15,0 / 1.83,aci
solvent_237 / solvent_93,1 / 0,298.15,0 / 1.46,aci
solvent_237 / solvent_1,1 / 0,298.15,0 / 0.02,aci
solvent_237 / solvent_112,1 / 0,298.15,0 / -0.76,aci
solvent_237 / solvent_12,1 / 0,298.15,0 / -0.25,aci
solvent_211 / solvent_5,1 / 0,298.15,0 / 1.39,aci
solvent_211 / solvent_60,1 / 0,298.15,0 / 1.46,aci
solvent_211 / solvent_124,1 / 0,298.15,0 / 5.55,aci
solvent_211 / solvent_394,1 / 0,298.15,0 / 0.81,aci
solvent_211 / solvent_93,1 / 0,298.15,0 / 0.64,aci
solvent_211 / solvent_13,1 / 0,298.15,0 / 2.59,aci
solvent_211 / solvent_1,1 / 0,298.15,0 / 2.45,aci
solvent_211 / solvent_723,1 / 0,298.15,0 / 0.2,aci
solvent_211 / solvent_99,1 / 0,298.15,0 / 0.39,aci
solvent_211 / solvent_87,1 / 0,298.15,0 / -0.16,aci
solvent_211 / solvent_57,1 / 0,298.15,0 / -0.19,aci
solvent_211 / solvent_544,1 / 0,298.15,0 / 0.03,aci
solvent_211 / solvent_20,1 / 0,298.15,0 / 0.46,aci
solvent_713 / solvent_5,1 / 0,298.15,0 / 2.39,aci
solvent_713 / solvent_251,1 / 0,298.15,0 / 2.45,aci
solvent_713 / solvent_60,1 / 0,298.15,0 / 2.55,aci
solvent_713 / solvent_50,1 / 0,298.15,0 / 2.07,aci
solvent_713 / solvent_18,1 / 0,298.15,0 / 0.47,aci
solvent_713 / solvent_365,1 / 0,298.15,0 / 1.66,aci
solvent_713 / solvent_93,1 / 0,298.15,0 / 1.12,aci
solvent_850 / solvent_5,1 / 0,298.15,0 / 1.65,aci
solvent_850 / solvent_251,1 / 0,298.15,0 / 1.65,aci
solvent_850 / solvent_60,1 / 0,298.15,0 / 1.79,aci
solvent_850 / solvent_50,1 / 0,298.15,0 / 1.37,aci
solvent_850 / solvent_18,1 / 0,298.15,0 / 0.03,aci
solvent_850 / solvent_365,1 / 0,298.15,0 / 1.06,aci
solvent_850 / solvent_93,1 / 0,298.15,0 / 0.6,aci
solvent_861 / solvent_60,1 / 0,298.15,0 / 2.09,aci
solvent_861 / solvent_50,1 / 0,298.15,0 / 1.62,aci
solvent_861 / solvent_18,1 / 0,298.15,0 / 0.36,aci
solvent_861 / solvent_365,1 / 0,298.15,0 / 1.39,aci
solvent_861 / solvent_93,1 / 0,298.15,0 / 0.93,aci
solvent_898 / solvent_60,1 / 0,298.15,0 / 0.18,aci
solvent_898 / solvent_50,1 / 0,298.15,0 / 0.01,aci
solvent_898 / solvent_19,1 / 0,298.15,0 / 0.12,aci
solvent_898 / solvent_18,1 / 0,298.15,0 / 0.26,aci
solvent_898 / solvent_102,1 / 0,298.15,0 / 0.14,aci
