solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_837 / solvent_93,1 / 0,298.15,0 / 1.39,aci
solvent_894 / solvent_5,1 / 0,298.15,0 / 1.94,aci
solvent_894 / solvent_60,1 / 0,298.15,0 / 2.19,aci
solvent_894 / solvent_50,1 / 0,298.15,0 / 1.64,aci
solvent_894 / solvent_19,1 / 0,298.15,0 / 2.24,aci
solvent_894 / solvent_44,1 / 0,298.15,0 / 2.41,aci
solvent_894 / solvent_18,1 / 0,298.15,0 / -0.12,aci
solvent_894 / solvent_3,1 / 0,298.15,0 / 0.1,aci
solvent_894 / solvent_124,1 / 0,298.15,0 / 1.4,aci
solvent_894 / solvent_102,1 / 0,298.15,0 / 1.56,aci
solvent_894 / solvent_176,1 / 0,298.15,0 / 1.12,aci
solvent_894 / solvent_309,1 / 0,298.15,0 / 1.67,aci
solvent_894 / solvent_46,1 / 0,298.15,0 / 1.8,aci
solvent_894 / solvent_9,1 / 0,298.15,0 / 0.3,aci
solvent_894 / solvent_95,1 / 0,298.15,0 / 0.99,aci
solvent_894 / solvent_889,1 / 0,298.15,0 / 1.34,aci
solvent_894 / solvent_85,1 / 0,298.15,0 / 1.11,aci
solvent_894 / solvent_8,1 / 0,298.15,0 / 0.98,aci
solvent_894 / solvent_47,1 / 0,298.15,0 / 1.47,aci
solvent_894 / solvent_32,1 / 0,298.15,0 / 0.05,aci
solvent_894 / solvent_12,1 / 0,298.15,0 / 0.07,aci
solvent_894 / solvent_189,1 / 0,298.15,0 / 0.13,aci
solvent_894 / solvent_188,1 / 0,298.15,0 / 0.04,aci
solvent_846 / solvent_60,1 / 0,298.15,0 / 2.34,aci
solvent_846 / solvent_50,1 / 0,298.15,0 / 1.81,aci
solvent_846 / solvent_18,1 / 0,298.15,0 / 0.42,aci
solvent_846 / solvent_3,1 / 0,298.15,0 / 0.59,aci
solvent_846 / solvent_41,1 / 0,298.15,0 / 0.88,aci
solvent_846 / solvent_365,1 / 0,298.15,0 / 1.55,aci
solvent_846 / solvent_93,1 / 0,298.15,0 / 0.82,aci
solvent_27 / solvent_13,1 / 0,298.15,0 / 0.15,aci
solvent_27 / solvent_1,1 / 0,298.15,0 / -0.02,aci
solvent_27 / solvent_112,1 / 0,298.15,0 / 0.88,aci
solvent_27 / solvent_8,1 / 0,298.15,0 / 0.7,aci
solvent_27 / solvent_32,1 / 0,298.15,0 / 0.86,aci
solvent_27 / solvent_12,1 / 0,298.15,0 / 0.8,aci
